time_s,latitude,longitude,rel_alt_m,battery_pct
13.8174,47.3978,8.54561,10.314,80
14.0175,47.3978,8.54561,10.656,80
14.218,47.3978,8.54561,11.063,80
14.4185,47.3978,8.54561,11.554,80
14.6186,47.3978,8.54561,12.102,80
14.8188,47.3978,8.54561,12.662,80
15.019,47.3978,8.54561,13.223,80
15.2192,47.3978,8.54561,13.779,77
15.4203,47.3978,8.54561,14.342,77
15.6205,47.3978,8.54561,14.91,77
15.8207,47.3978,8.54561,15.485,77
16.0209,47.3978,8.54561,16.062,77
16.2227,47.3978,8.54561,16.643,77
16.4229,47.3978,8.54561,17.226,77
16.623,47.3978,8.54561,17.811,77
16.8232,47.3978,8.54561,18.395,77
17.0233,47.3978,8.54561,18.981,77
17.224,47.3978,8.54561,19.568,77
17.4242,47.3978,8.54561,20.158,74
17.6243,47.3978,8.54561,20.747,74
17.8244,47.3978,8.54561,21.336,74
18.0246,47.3978,8.54561,21.924,74
18.2253,47.3978,8.54561,22.514,74
18.4263,47.3978,8.54561,23.103,74
18.6265,47.3978,8.54561,23.691,74
18.8289,47.3978,8.54561,24.277,74
19.0295,47.3978,8.54561,24.863,74
19.2297,47.3978,8.54561,25.447,70
19.4298,47.3978,8.54561,26.054,70
19.6299,47.3978,8.54561,26.612,70
19.83,47.3978,8.54561,27.194,70
20.0301,47.3978,8.54561,27.773,70
20.231,47.3978,8.54561,28.349,70
20.4321,47.3978,8.54561,28.922,70
20.6322,47.3978,8.54561,29.497,70
20.8324,47.3978,8.54561,30.072,70
21.0325,47.3978,8.54561,30.646,70
21.2327,47.3978,8.54561,31.218,70
21.4328,47.3978,8.54561,31.789,67
21.633,47.3978,8.54561,32.36,67
21.8331,47.3978,8.54561,32.932,67
22.0332,47.3978,8.54561,33.505,67
22.2333,47.3978,8.54561,34.078,67
22.4335,47.3978,8.54561,34.671,67
22.6346,47.3978,8.54561,35.22,67
22.8349,47.3978,8.54561,35.793,67
23.035,47.3978,8.54561,36.37,67
23.2351,47.3978,8.54561,36.975,67
23.4353,47.3978,8.54561,37.538,64
23.6354,47.3978,8.54561,38.124,64
23.8358,47.3978,8.54561,38.71,64
24.0359,47.3978,8.54561,39.295,64
24.2361,47.3978,8.54561,39.881,64
24.4362,47.3978,8.54561,40.465,64
24.6363,47.3978,8.54561,41.048,64
24.8364,47.3978,8.54561,41.629,64
25.0365,47.3978,8.54561,42.21,64
25.2367,47.3978,8.54561,42.79,64
25.4368,47.3978,8.54561,43.393,60
25.6369,47.3978,8.54561,43.93,60
25.837,47.3978,8.54561,44.446,60
26.0371,47.3978,8.54561,44.923,60
26.2373,47.3978,8.54561,45.382,60
26.4374,47.3978,8.54561,45.777,60
26.6376,47.3978,8.54561,46.171,60
26.8377,47.3978,8.54561,46.507,60
27.0379,47.3978,8.54561,46.83,60
27.238,47.3978,8.54561,47.128,60
27.4381,47.3978,8.54561,47.4,57
27.6383,47.3978,8.54561,47.648,57
27.8384,47.3978,8.54561,47.882,57
28.0385,47.3978,8.54561,48.079,57
28.2386,47.3978,8.54561,48.265,57
28.4388,47.3978,8.54561,48.434,57
28.6389,47.3978,8.54561,48.587,57
28.839,47.3978,8.54561,48.725,57
29.0391,47.3978,8.54561,48.851,57
29.2393,47.3978,8.54561,48.965,57
29.4394,47.3978,8.54561,49.068,54
29.6395,47.3978,8.54561,49.16,54
29.8402,47.3978,8.54561,49.246,54
30.0404,47.3978,8.54561,49.321,54
30.2406,47.3978,8.54561,49.392,54
30.4407,47.3978,8.54561,49.458,54
30.6408,47.3978,8.54561,49.52,54
30.8409,47.3978,8.54561,49.577,54
31.0412,47.3978,8.54562,49.622,54
31.2415,47.3978,8.54562,49.657,54
31.4416,47.3978,8.54563,49.683,50
31.6417,47.3978,8.54563,49.702,50
31.8422,47.3978,8.54564,49.715,50
32.0424,47.3978,8.54565,49.717,50
32.2426,47.3978,8.54567,49.708,50
32.4429,47.3978,8.54568,49.693,50
32.6431,47.3978,8.54569,49.678,50
32.8437,47.3978,8.5457,49.667,50
33.0438,47.3978,8.54571,49.659,50
33.2439,47.3978,8.54573,49.653,50
33.4441,47.3978,8.54574,49.649,47
33.6442,47.3978,8.54575,49.646,47
33.8459,47.3978,8.54576,49.644,47
34.046,47.3978,8.54578,49.643,47
34.2462,47.3978,8.54579,49.642,47
34.4463,47.3978,8.5458,49.639,47
34.6466,47.3978,8.54581,49.638,47
34.8467,47.3978,8.54583,49.636,47
35.0469,47.3978,8.54584,49.635,47
35.247,47.3978,8.54585,49.635,47
35.4482,47.3978,8.54586,49.635,44
35.6484,47.3978,8.54588,49.634,44
35.8486,47.3978,8.54589,49.634,44
36.0487,47.3978,8.5459,49.633,44
36.249,47.3978,8.54592,49.633,44
36.4491,47.3978,8.54593,49.633,44
36.6493,47.3978,8.54594,49.632,44
36.8494,47.3978,8.54595,49.632,44
37.0496,47.3978,8.54597,49.633,44
37.2497,47.3978,8.54598,49.634,44
37.4499,47.3978,8.54599,49.635,40
37.65,47.3978,8.546,49.635,40
37.8502,47.3978,8.54602,49.636,40
38.0503,47.3978,8.54602,49.636,40
38.2505,47.3978,8.54603,49.637,40
38.4507,47.3978,8.54604,49.638,40
38.6508,47.3978,8.54606,49.639,40
38.851,47.3978,8.54607,49.637,40
39.0511,47.3978,8.54608,49.636,40
39.2513,47.3978,8.5461,49.636,40
39.4514,47.3978,8.54611,49.636,37
39.6518,47.3978,8.54612,49.637,37
39.8521,47.3978,8.54613,49.638,37
40.0522,47.3978,8.54615,49.637,37
40.2523,47.3978,8.54616,49.637,37
40.4526,47.3978,8.54617,49.638,37
40.6527,47.3978,8.54619,49.64,37
40.8528,47.3978,8.5462,49.642,37
41.0529,47.3978,8.54621,49.644,37
41.253,47.3978,8.54623,49.645,37
41.4531,47.3978,8.54624,49.645,34
41.6532,47.3978,8.54625,49.647,34
41.8533,47.3978,8.54627,49.647,34
42.0535,47.3978,8.54628,49.647,34
42.2536,47.3978,8.54629,49.647,34
42.4537,47.3978,8.54631,49.647,34
42.6538,47.3978,8.54632,49.648,34
42.854,47.3978,8.54633,49.649,34
43.0543,47.3978,8.54635,49.65,34
43.2545,47.3978,8.54636,49.651,34
43.4546,47.3978,8.54637,49.652,30
43.6553,47.3978,8.54639,49.654,30
43.8555,47.3978,8.5464,49.655,30
44.0556,47.3978,8.54641,49.656,30
44.2557,47.3978,8.54643,49.657,30
44.4559,47.3978,8.54644,49.659,30
44.656,47.3978,8.54645,49.659,30
44.8576,47.3978,8.54647,49.66,30
45.0577,47.3978,8.54648,49.661,30
45.2581,47.3978,8.54649,49.661,30
45.4582,47.3978,8.54651,49.662,27
45.6584,47.3978,8.54652,49.665,27
45.8591,47.3978,8.54653,49.664,27
46.0592,47.3978,8.54655,49.662,27
46.2594,47.3978,8.54656,49.661,27
46.4595,47.3978,8.54657,49.661,27
46.6596,47.3978,8.54659,49.661,27
46.8597,47.3978,8.5466,49.661,27
47.0602,47.3978,8.54661,49.661,27
47.2611,47.3978,8.54663,49.661,27
47.4612,47.3978,8.54664,49.662,27
47.6614,47.3978,8.54665,49.662,24
47.8618,47.3978,8.54667,49.661,24
48.0619,47.3978,8.54668,49.661,24
48.2621,47.3978,8.54669,49.663,24
48.4622,47.3978,8.54671,49.666,24
48.6624,47.3978,8.54672,49.668,24
48.8627,47.3978,8.54673,49.669,24
49.0628,47.3978,8.54675,49.669,24
49.263,47.3978,8.54676,49.669,24
49.465,47.3978,8.54677,49.67,24
49.6656,47.3978,8.54678,49.672,20
49.8662,47.3978,8.5468,49.674,20
50.0664,47.3978,8.54681,49.678,20
50.2671,47.3978,8.54682,49.682,20
50.4673,47.3978,8.54684,49.686,20
50.6677,47.3978,8.54685,49.686,20
50.8678,47.3978,8.54686,49.684,20
51.068,47.3978,8.54688,49.682,20
51.2689,47.3978,8.54689,49.681,20
51.469,47.3978,8.5469,49.681,20
51.6691,47.3978,8.54692,49.68,17
51.87,47.3978,8.54693,49.681,17
52.0702,47.3978,8.54694,49.683,17
52.2703,47.3978,8.54696,49.685,17
52.4734,47.3978,8.54697,49.688,17
52.6736,47.3978,8.54698,49.69,17
52.8739,47.3978,8.547,49.692,17
53.0741,47.3978,8.54701,49.694,17
53.2742,47.3978,8.54702,49.695,17
53.4743,47.3978,8.54704,49.696,17
53.6745,47.3978,8.54705,49.697,14
53.8748,47.3978,8.54707,49.695,14
